T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2020-2021,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,CHARTER STATUS,GENDER,ENROLLMENT
2020-2021,10,DALLAS COUNTY,057816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Female,721
2020-2021,10,DALLAS COUNTY,057816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Male,662
2020-2021,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Female,719
2020-2021,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Male,737
2020-2021,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,Female,71
2020-2021,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,Male,81
2020-2021,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,Female,137
2020-2021,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,Male,137
2020-2021,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Female,388
2020-2021,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Male,422
2020-2021,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Female,7719
2020-2021,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Male,7961
2020-2021,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Female,54
2020-2021,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Male,254
2020-2021,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,Female,817
2020-2021,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,Male,909
2020-2021,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING IN,OPEN ENROLLMENT CHARTER,Female,424
2020-2021,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING IN,OPEN ENROLLMENT CHARTER,Male,427
2020-2021,10,DALLAS COUNTY,057810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Female,184
2020-2021,10,DALLAS COUNTY,057810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Male,157
2020-2021,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Female,132
2020-2021,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Male,103
2020-2021,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Female,67
2020-2021,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Male,55
2020-2021,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Female,579
2020-2021,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Male,628
