T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2022-2023,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,CHARTER STATUS,GENDER,ENROLLMENT
2022-2023,10,DALLAS COUNTY,057816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Female,503
2022-2023,10,DALLAS COUNTY,057816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Male,472
2022-2023,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Female,797
2022-2023,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Male,791
2022-2023,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,Female,73
2022-2023,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,Male,83
2022-2023,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,Female,131
2022-2023,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,Male,155
2022-2023,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Female,416
2022-2023,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Male,419
2022-2023,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Female,7488
2022-2023,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Male,7765
2022-2023,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Female,83
2022-2023,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Male,275
2022-2023,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,Female,889
2022-2023,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,Male,946
2022-2023,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Female,435
2022-2023,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Male,415
2022-2023,10,DALLAS COUNTY,057810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Female,134
2022-2023,10,DALLAS COUNTY,057810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Male,135
2022-2023,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Female,64
2022-2023,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Male,74
2022-2023,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Female,60
2022-2023,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Male,60
2022-2023,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Female,488
2022-2023,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Male,524
2022-2023,02,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Female,205
2022-2023,02,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Male,203
