T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2021-2022,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,CHARTER STATUS,GENDER,ENROLLMENT
2021-2022,10,DALLAS COUNTY,057816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Female,568
2021-2022,10,DALLAS COUNTY,057816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Male,499
2021-2022,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Female,779
2021-2022,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Male,772
2021-2022,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,Female,70
2021-2022,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,Male,75
2021-2022,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,Female,133
2021-2022,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,Male,150
2021-2022,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Female,396
2021-2022,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Male,429
2021-2022,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Female,7573
2021-2022,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Male,7853
2021-2022,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Female,64
2021-2022,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Male,233
2021-2022,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,Female,865
2021-2022,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,Male,894
2021-2022,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Female,<10
2021-2022,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Male,<10
2021-2022,10,DALLAS COUNTY,057810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Female,131
2021-2022,10,DALLAS COUNTY,057810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Male,114
2021-2022,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Female,117
2021-2022,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Male,97
2021-2022,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Female,57
2021-2022,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Male,56
2021-2022,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Female,553
2021-2022,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Male,585
2021-2022,02,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Female,200
